Date,Indicador,Valor
12/12/2015,Temperatura,28.78
13/12/2015,Temperatura,27.75
14/12/2015,Temperatura,27.08
15/12/2015,Temperatura,27.06
16/12/2015,Temperatura,26.7
17/12/2015,Temperatura,26.81
18/12/2015,Temperatura,27.37
19/12/2015,Temperatura,28.52
20/12/2015,Temperatura,28.71
21/12/2015,Temperatura,28.96
22/12/2015,Temperatura,28.75
23/12/2015,Temperatura,27.27
24/12/2015,Temperatura,28.32
25/12/2015,Temperatura,28.7
26/12/2015,Temperatura,28.84
27/12/2015,Temperatura,28.58
28/12/2015,Temperatura,27.79
29/12/2015,Temperatura,27.55
30/12/2015,Temperatura,29.07
31/12/2015,Temperatura,29.13
1/1/2016,Temperatura,29.08
2/1/2016,Temperatura,28.61
3/1/2016,Temperatura,28.29
4/1/2016,Temperatura,27.68
5/1/2016,Temperatura,28.1
6/1/2016,Temperatura,27.89
7/1/2016,Temperatura,27.95
8/1/2016,Temperatura,27.01
9/1/2016,Temperatura,26.78
10/1/2016,Temperatura,27.03
11/1/2016,Temperatura,27.85
12/1/2016,Temperatura,25.57
13/1/2016,Temperatura,26.98
14/1/2016,Temperatura,26.38
15/1/2016,Temperatura,26.3
16/1/2016,Temperatura,25.24
17/1/2016,Temperatura,27.4
18/1/2016,Temperatura,28.17
19/1/2016,Temperatura,27.17
20/1/2016,Temperatura,27.79
21/1/2016,Temperatura,27.13
22/1/2016,Temperatura,27.77
23/1/2016,Temperatura,27.45
24/1/2016,Temperatura,26.78
25/1/2016,Temperatura,27.43
26/1/2016,Temperatura,27.13
27/1/2016,Temperatura,27.06
28/1/2016,Temperatura,26.94
29/1/2016,Temperatura,28.3
30/1/2016,Temperatura,27.94
31/1/2016,Temperatura,28
1/2/2016,Temperatura,28.07
2/2/2016,Temperatura,26.63
3/2/2016,Temperatura,26.81
4/2/2016,Temperatura,26.84
5/2/2016,Temperatura,27.69
6/2/2016,Temperatura,28.19
7/2/2016,Temperatura,27.93
8/2/2016,Temperatura,27.35
9/2/2016,Temperatura,27.88
10/2/2016,Temperatura,26.67
11/2/2016,Temperatura,26.98
12/2/2016,Temperatura,27.96
13/2/2016,Temperatura,27.98
14/2/2016,Temperatura,27.98
15/2/2016,Temperatura,29.1
16/2/2016,Temperatura,28.04
